sector,yahoo_sector_key,rank,ticker,etf_name,source_url,retrieved_at_utc
Healthcare,healthcare,1,XLV,State Street Health Care Select,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,2,VHT,Vanguard Health Care ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,3,XBI,State Street SPDR S&P Biotech E,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,4,IBB,iShares Biotechnology ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,5,IXJ,iShares Global Healthcare ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,6,FHLC,Fidelity MSCI Health Care Index,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,7,IYH,iShares U.S. Healthcare ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,8,IHI,iShares U.S. Medical Devices ET,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,9,FBT,First Trust Amex Biotech Index ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Healthcare,healthcare,10,ARKG,ARK Genomic Revolution ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_healthcare/,2026-07-17T03:37:13+00:00
Industrials,industrials,1,XLI,State Street Industrial Select ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,2,PAVE,Global X U.S. Infrastructure De,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,3,ITA,iShares U.S. Aerospace & Defens,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,4,AIRR,First Trust RBA American Indust,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,5,VIS,Vanguard Industrials ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,6,PPA,Invesco Aerospace & Defense ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,7,SHLD,Global X Defense Tech ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,8,XAR,State Street SPDR S&P Aerospace,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,9,IDEF,iShares Defense Industrials Act,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Industrials,industrials,10,FIDU,Fidelity MSCI Industrials Index,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_industrials/,2026-07-17T03:37:13+00:00
Technology,technology,1,QQQ,"Invesco QQQ Trust, Series 1",https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,2,VGT,Vanguard Information Tech ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,3,XLK,State Street Technology Select ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,4,QQQM,Invesco NASDAQ 100 ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,5,SMH,VanEck Semiconductor ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,6,SOXX,iShares PHLX SOX Semiconductor ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,7,JEPQ,JPMorgan Nasdaq Equity Premium ,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,8,SOXL,Direxion Daily Semiconductor Bu,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,9,IYW,iShares U.S. Technology ETF,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Technology,technology,10,FTEC,Fidelity MSCI Information Techn,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_technology/,2026-07-17T03:37:13+00:00
Telecom,communication-services,1,XLC,State Street Communication Serv,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,2,VOX,Vanguard Communication Services,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,3,FCOM,Fidelity MSCI Communication Ser,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,4,IYZ,iShares U.S. Telecommunications,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,5,IXP,iShares Global Comm Services ET,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,6,GXPC,Global X PureCap MSCI Communica,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,7,RSPC,Invesco S&P 500 Equal Weight Co,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,8,GOOX,T-Rex 2X Long Alphabet Daily Ta,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,9,TRUC,VanEck Communication Services T,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
Telecom,communication-services,10,GOLS,Gabelli Opportunities in Live a,https://finance.yahoo.com/research-hub/screener/sec-ind_sec-top-etfs_communication-services/,2026-07-17T03:37:13+00:00
